"","GS","HOU","PHO","DEN","BOS","OKC","PHI","SAC","DAL","MIN","LA Clippers","MIL","POR","LA Lakers","ATL","WAS","SAN","ORL","IND","TOR","CHI","CHR","DET","BKN","CLE","MEM","NOH","NY","MIA","UTA"
"GS",100.7,100,99.7,99.7,99.55,99.5,99.5,99.3,99.05,98.85,98.85,98.6,98.6,98.5,98.45,98.35,98.3,98.3,98.1,98.05,98.05,98,97.95,97.85,97.75,97.45,97.2,97.2,97,96.75
"HOU",100,99.3,99,99,98.85,98.8,98.8,98.6,98.35,98.15,98.15,97.9,97.9,97.8,97.75,97.65,97.6,97.6,97.4,97.35,97.35,97.3,97.25,97.15,97.05,96.75,96.5,96.5,96.3,96.05
"PHO",99.7,99,98.7,98.7,98.55,98.5,98.5,98.3,98.05,97.85,97.85,97.6,97.6,97.5,97.45,97.35,97.3,97.3,97.1,97.05,97.05,97,96.95,96.85,96.75,96.45,96.2,96.2,96,95.75
"DEN",99.7,99,98.7,98.7,98.55,98.5,98.5,98.3,98.05,97.85,97.85,97.6,97.6,97.5,97.45,97.35,97.3,97.3,97.1,97.05,97.05,97,96.95,96.85,96.75,96.45,96.2,96.2,96,95.75
"BOS",99.55,98.85,98.55,98.55,98.4,98.35,98.35,98.15,97.9,97.7,97.7,97.45,97.45,97.35,97.3,97.2,97.15,97.15,96.95,96.9,96.9,96.85,96.8,96.7,96.6,96.3,96.05,96.05,95.85,95.6
"OKC",99.5,98.8,98.5,98.5,98.35,98.3,98.3,98.1,97.85,97.65,97.65,97.4,97.4,97.3,97.25,97.15,97.1,97.1,96.9,96.85,96.85,96.8,96.75,96.65,96.55,96.25,96,96,95.8,95.55
"PHI",99.5,98.8,98.5,98.5,98.35,98.3,98.3,98.1,97.85,97.65,97.65,97.4,97.4,97.3,97.25,97.15,97.1,97.1,96.9,96.85,96.85,96.8,96.75,96.65,96.55,96.25,96,96,95.8,95.55
"SAC",99.3,98.6,98.3,98.3,98.15,98.1,98.1,97.9,97.65,97.45,97.45,97.2,97.2,97.1,97.05,96.95,96.9,96.9,96.7,96.65,96.65,96.6,96.55,96.45,96.35,96.05,95.8,95.8,95.6,95.35
"DAL",99.05,98.35,98.05,98.05,97.9,97.85,97.85,97.65,97.4,97.2,97.2,96.95,96.95,96.85,96.8,96.7,96.65,96.65,96.45,96.4,96.4,96.35,96.3,96.2,96.1,95.8,95.55,95.55,95.35,95.1
"MIN",98.85,98.15,97.85,97.85,97.7,97.65,97.65,97.45,97.2,97,97,96.75,96.75,96.65,96.6,96.5,96.45,96.45,96.25,96.2,96.2,96.15,96.1,96,95.9,95.6,95.35,95.35,95.15,94.9
"LA Clippers",98.85,98.15,97.85,97.85,97.7,97.65,97.65,97.45,97.2,97,97,96.75,96.75,96.65,96.6,96.5,96.45,96.45,96.25,96.2,96.2,96.15,96.1,96,95.9,95.6,95.35,95.35,95.15,94.9
"MIL",98.6,97.9,97.6,97.6,97.45,97.4,97.4,97.2,96.95,96.75,96.75,96.5,96.5,96.4,96.35,96.25,96.2,96.2,96,95.95,95.95,95.9,95.85,95.75,95.65,95.35,95.1,95.1,94.9,94.65
"POR",98.6,97.9,97.6,97.6,97.45,97.4,97.4,97.2,96.95,96.75,96.75,96.5,96.5,96.4,96.35,96.25,96.2,96.2,96,95.95,95.95,95.9,95.85,95.75,95.65,95.35,95.1,95.1,94.9,94.65
"LA Lakers",98.5,97.8,97.5,97.5,97.35,97.3,97.3,97.1,96.85,96.65,96.65,96.4,96.4,96.3,96.25,96.15,96.1,96.1,95.9,95.85,95.85,95.8,95.75,95.65,95.55,95.25,95,95,94.8,94.55
"ATL",98.45,97.75,97.45,97.45,97.3,97.25,97.25,97.05,96.8,96.6,96.6,96.35,96.35,96.25,96.2,96.1,96.05,96.05,95.85,95.8,95.8,95.75,95.7,95.6,95.5,95.2,94.95,94.95,94.75,94.5
"WAS",98.35,97.65,97.35,97.35,97.2,97.15,97.15,96.95,96.7,96.5,96.5,96.25,96.25,96.15,96.1,96,95.95,95.95,95.75,95.7,95.7,95.65,95.6,95.5,95.4,95.1,94.85,94.85,94.65,94.4
"SAN",98.3,97.6,97.3,97.3,97.15,97.1,97.1,96.9,96.65,96.45,96.45,96.2,96.2,96.1,96.05,95.95,95.9,95.9,95.7,95.65,95.65,95.6,95.55,95.45,95.35,95.05,94.8,94.8,94.6,94.35
"ORL",98.3,97.6,97.3,97.3,97.15,97.1,97.1,96.9,96.65,96.45,96.45,96.2,96.2,96.1,96.05,95.95,95.9,95.9,95.7,95.65,95.65,95.6,95.55,95.45,95.35,95.05,94.8,94.8,94.6,94.35
"IND",98.1,97.4,97.1,97.1,96.95,96.9,96.9,96.7,96.45,96.25,96.25,96,96,95.9,95.85,95.75,95.7,95.7,95.5,95.45,95.45,95.4,95.35,95.25,95.15,94.85,94.6,94.6,94.4,94.15
"TOR",98.05,97.35,97.05,97.05,96.9,96.85,96.85,96.65,96.4,96.2,96.2,95.95,95.95,95.85,95.8,95.7,95.65,95.65,95.45,95.4,95.4,95.35,95.3,95.2,95.1,94.8,94.55,94.55,94.35,94.1
"CHI",98.05,97.35,97.05,97.05,96.9,96.85,96.85,96.65,96.4,96.2,96.2,95.95,95.95,95.85,95.8,95.7,95.65,95.65,95.45,95.4,95.4,95.35,95.3,95.2,95.1,94.8,94.55,94.55,94.35,94.1
"CHR",98,97.3,97,97,96.85,96.8,96.8,96.6,96.35,96.15,96.15,95.9,95.9,95.8,95.75,95.65,95.6,95.6,95.4,95.35,95.35,95.3,95.25,95.15,95.05,94.75,94.5,94.5,94.3,94.05
"DET",97.95,97.25,96.95,96.95,96.8,96.75,96.75,96.55,96.3,96.1,96.1,95.85,95.85,95.75,95.7,95.6,95.55,95.55,95.35,95.3,95.3,95.25,95.2,95.1,95,94.7,94.45,94.45,94.25,94
"BKN",97.85,97.15,96.85,96.85,96.7,96.65,96.65,96.45,96.2,96,96,95.75,95.75,95.65,95.6,95.5,95.45,95.45,95.25,95.2,95.2,95.15,95.1,95,94.9,94.6,94.35,94.35,94.15,93.9
"CLE",97.75,97.05,96.75,96.75,96.6,96.55,96.55,96.35,96.1,95.9,95.9,95.65,95.65,95.55,95.5,95.4,95.35,95.35,95.15,95.1,95.1,95.05,95,94.9,94.8,94.5,94.25,94.25,94.05,93.8
"MEM",97.45,96.75,96.45,96.45,96.3,96.25,96.25,96.05,95.8,95.6,95.6,95.35,95.35,95.25,95.2,95.1,95.05,95.05,94.85,94.8,94.8,94.75,94.7,94.6,94.5,94.2,93.95,93.95,93.75,93.5
"NOH",97.2,96.5,96.2,96.2,96.05,96,96,95.8,95.55,95.35,95.35,95.1,95.1,95,94.95,94.85,94.8,94.8,94.6,94.55,94.55,94.5,94.45,94.35,94.25,93.95,93.7,93.7,93.5,93.25
"NY",97.2,96.5,96.2,96.2,96.05,96,96,95.8,95.55,95.35,95.35,95.1,95.1,95,94.95,94.85,94.8,94.8,94.6,94.55,94.55,94.5,94.45,94.35,94.25,93.95,93.7,93.7,93.5,93.25
"MIA",97,96.3,96,96,95.85,95.8,95.8,95.6,95.35,95.15,95.15,94.9,94.9,94.8,94.75,94.65,94.6,94.6,94.4,94.35,94.35,94.3,94.25,94.15,94.05,93.75,93.5,93.5,93.3,93.05
"UTA",96.75,96.05,95.75,95.75,95.6,95.55,95.55,95.35,95.1,94.9,94.9,94.65,94.65,94.55,94.5,94.4,94.35,94.35,94.15,94.1,94.1,94.05,94,93.9,93.8,93.5,93.25,93.25,93.05,92.8
